"INDIKATOR_GRUPPE","INDIKATOR_BEZEICHNUNG","INDIKATOR_AUSPRAEGUNG","INDIKATOR_WERT","BASISWERT_1","BASISWERT_2","BASISWERT_3","BASISWERT_4","BASISWERT_5","NAME_BASISWERT1","NAME_BASISWERT2","NAME_BASISWERT3","NAME_BASISWERT4","NAME_BASISWERT5","JAHR","GLIEDERUNG","NUMMER","NAME"
"Bevölkerung","Überalterungsquotient","Deutsche","215","8394","3904","","","","Anzahl Einwohner ab 65 (deutsch)","Anzahl Einwohner jünger 15 (deutsch)","","","","2000","Stadtbezirk","18","18 Untergiesing - Harlaching"
"Bevölkerung","Überalterungsquotient","Deutsche","196,5","6698","3409","","","","Anzahl Einwohner ab 65 (deutsch)","Anzahl Einwohner jünger 15 (deutsch)","","","","2000","Stadtbezirk","17","17 Obergiesing - Fasangarten"
"Bevölkerung","Überalterungsquotient","Deutsche","152,2","4315","2835","","","","Anzahl Einwohner ab 65 (deutsch)","Anzahl Einwohner jünger 15 (deutsch)","","","","2000","Stadtbezirk","6","06 Sendling"
"Bevölkerung","Überalterungsquotient","Ausländer_innen","39,3","670","1704","","","","Anzahl Einwohner ab 65 (Ausländer)","Anzahl Einwohner jünger 15 (Ausländer)","","","","2000","Stadtbezirk","19","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln"
"Bevölkerung","Überalterungsquotient","Ausländer_innen","51","699","1371","","","","Anzahl Einwohner ab 65 (Ausländer)","Anzahl Einwohner jünger 15 (Ausländer)","","","","2000","Stadtbezirk","13","13 Bogenhausen"
"Bevölkerung","Überalterungsquotient","Deutsche","166,5","6754","4056","","","","Anzahl Einwohner ab 65 (deutsch)","Anzahl Einwohner jünger 15 (deutsch)","","","","2000","Stadtbezirk","5","05 Au - Haidhausen"
"Bevölkerung","Überalterungsquotient","gesamt","123,7","9990","8073","","","","Anzahl Einwohner ab 65 (gesamt)","Anzahl Einwohner jünger 15 (gesamt)","","","","2000","Stadtbezirk","21","21 Pasing - Obermenzing"
"Bevölkerung","Überalterungsquotient","gesamt","113,8","4723","4151","","","","Anzahl Einwohner ab 65 (gesamt)","Anzahl Einwohner jünger 15 (gesamt)","","","","2000","Stadtbezirk","6","06 Sendling"
"Bevölkerung","Überalterungsquotient","Ausländer_innen","53,9","739","1370","","","","Anzahl Einwohner ab 65 (Ausländer)","Anzahl Einwohner jünger 15 (Ausländer)","","","","2000","Stadtbezirk","5","05 Au - Haidhausen"
"Bevölkerung","Überalterungsquotient","Ausländer_innen","25,5","338","1325","","","","Anzahl Einwohner ab 65 (Ausländer)","Anzahl Einwohner jünger 15 (Ausländer)","","","","2000","Stadtbezirk","20","20 Hadern"
"Bevölkerung","Überalterungsquotient","Deutsche","142,7","9489","6648","","","","Anzahl Einwohner ab 65 (deutsch)","Anzahl Einwohner jünger 15 (deutsch)","","","","2000","Stadtbezirk","21","21 Pasing - Obermenzing"
"Bevölkerung","Überalterungsquotient","Deutsche","133,9","2309","1725","","","","Anzahl Einwohner ab 65 (deutsch)","Anzahl Einwohner jünger 15 (deutsch)","","","","2000","Stadtbezirk","8","08 Schwanthalerhöhe"
"Bevölkerung","Überalterungsquotient","Deutsche","135,3","5837","4315","","","","Anzahl Einwohner ab 65 (deutsch)","Anzahl Einwohner jünger 15 (deutsch)","","","","2000","Stadtbezirk","22","22 Aubing - Lochhausen - Langwied"
