"INDIKATOR_GRUPPE","INDIKATOR_BEZEICHNUNG","INDIKATOR_AUSPRAEGUNG","INDIKATOR_WERT","BASISWERT_1","BASISWERT_2","BASISWERT_3","BASISWERT_4","BASISWERT_5","NAME_BASISWERT1","NAME_BASISWERT2","NAME_BASISWERT3","NAME_BASISWERT4","NAME_BASISWERT5","JAHR","GLIEDERUNG","NUMMER","NAME"
"Bevölkerung","Zusammengefasste Geburtenrate","deutsch","1,05","","","","","","","","","","","2000","Gesamtstadt","#100","Stadt München"
"Bevölkerung","Zusammengefasste Geburtenrate","deutsch","1,17","","","","","","","","","","","2000","Stadtbezirk","23","23 Allach - Untermenzing"
"Bevölkerung","Zusammengefasste Geburtenrate","ausländisch","1,44","","","","","","","","","","","2000","Stadtbezirk","17","17 Obergiesing - Fasangarten"
"Bevölkerung","Zusammengefasste Geburtenrate","ausländisch","1,85","","","","","","","","","","","2000","Stadtbezirk","11","11 Milbertshofen - Am Hart"
"Bevölkerung","Zusammengefasste Geburtenrate","gesamt","1,35","","","","","","","","","","","2000","Stadtbezirk","6","06 Sendling"
"Bevölkerung","Zusammengefasste Geburtenrate","ausländisch","1,93","","","","","","","","","","","2000","Stadtbezirk","21","21 Pasing - Obermenzing"
"Bevölkerung","Zusammengefasste Geburtenrate","deutsch","1,09","","","","","","","","","","","2000","Stadtbezirk","10","10 Moosach"
"Bevölkerung","Zusammengefasste Geburtenrate","gesamt","1,42","","","","","","","","","","","2000","Stadtbezirk","22","22 Aubing - Lochhausen - Langwied"
"Bevölkerung","Zusammengefasste Geburtenrate","deutsch","1,02","","","","","","","","","","","2000","Stadtbezirk","25","25 Laim"
"Bevölkerung","Zusammengefasste Geburtenrate","deutsch","1,08","","","","","","","","","","","2000","Stadtbezirk","20","20 Hadern"
"Bevölkerung","Zusammengefasste Geburtenrate","gesamt","1,57","","","","","","","","","","","2000","Stadtbezirk","24","24 Feldmoching - Hasenbergl"
"Bevölkerung","Zusammengefasste Geburtenrate","ausländisch","1,81","","","","","","","","","","","2000","Stadtbezirk","14","14 Berg am Laim"
"Bevölkerung","Zusammengefasste Geburtenrate","gesamt","1,39","","","","","","","","","","","2000","Stadtbezirk","23","23 Allach - Untermenzing"
"Bevölkerung","Zusammengefasste Geburtenrate","deutsch","1,05","","","","","","","","","","","2000","Stadtbezirk","1","01 Altstadt - Lehel"
"Bevölkerung","Zusammengefasste Geburtenrate","deutsch","0,92","","","","","","","","","","","2000","Stadtbezirk","17","17 Obergiesing - Fasangarten"
"Bevölkerung","Zusammengefasste Geburtenrate","deutsch","1,13","","","","","","","","","","","2000","Stadtbezirk","19","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln"
"Bevölkerung","Zusammengefasste Geburtenrate","gesamt","1,3","","","","","","","","","","","2000","Stadtbezirk","7","07 Sendling - Westpark"
"Bevölkerung","Zusammengefasste Geburtenrate","deutsch","0,92","","","","","","","","","","","2000","Stadtbezirk","8","08 Schwanthalerhöhe"
"Bevölkerung","Zusammengefasste Geburtenrate","gesamt","1,41","","","","","","","","","","","2000","Stadtbezirk","11","11 Milbertshofen - Am Hart"
"Bevölkerung","Zusammengefasste Geburtenrate","deutsch","0,94","","","","","","","","","","","2000","Stadtbezirk","14","14 Berg am Laim"
"Bevölkerung","Zusammengefasste Geburtenrate","gesamt","1,05","","","","","","","","","","","2000","Stadtbezirk","5","05 Au - Haidhausen"
"Bevölkerung","Zusammengefasste Geburtenrate","gesamt","1,03","","","","","","","","","","","2000","Stadtbezirk","12","12 Schwabing - Freimann"
"Bevölkerung","Zusammengefasste Geburtenrate","gesamt","1","","","","","","","","","","","2000","Stadtbezirk","2","02 Ludwigsvorstadt - Isarvorstadt"
"Bevölkerung","Zusammengefasste Geburtenrate","ausländisch","1,66","","","","","","","","","","","2000","Stadtbezirk","9","09 Neuhausen - Nymphenburg"
"Bevölkerung","Zusammengefasste Geburtenrate","ausländisch","0,92","","","","","","","","","","","2000","Stadtbezirk","3","03 Maxvorstadt"
"Bevölkerung","Zusammengefasste Geburtenrate","gesamt","1,19","","","","","","","","","","","2000","Stadtbezirk","9","09 Neuhausen - Nymphenburg"
"Bevölkerung","Zusammengefasste Geburtenrate","gesamt","1,28","","","","","","","","","","","2001","Stadtbezirk","17","17 Obergiesing - Fasangarten"
"Bevölkerung","Zusammengefasste Geburtenrate","gesamt","1,13","","","","","","","","","","","2001","Stadtbezirk","7","07 Sendling - Westpark"
"Bevölkerung","Zusammengefasste Geburtenrate","deutsch","1,42","","","","","","","","","","","2001","Stadtbezirk","15","15 Trudering - Riem"
"Bevölkerung","Zusammengefasste Geburtenrate","ausländisch","1,58","","","","","","","","","","","2001","Stadtbezirk","15","15 Trudering - Riem"
"Bevölkerung","Zusammengefasste Geburtenrate","ausländisch","1,12","","","","","","","","","","","2001","Stadtbezirk","3","03 Maxvorstadt"
"Bevölkerung","Zusammengefasste Geburtenrate","gesamt","1,1","","","","","","","","","","","2001","Stadtbezirk","5","05 Au - Haidhausen"
"Bevölkerung","Zusammengefasste Geburtenrate","ausländisch","1,52","","","","","","","","","","","2001","Gesamtstadt","#100","Stadt München"
"Bevölkerung","Zusammengefasste Geburtenrate","ausländisch","1,28","","","","","","","","","","","2001","Stadtbezirk","8","08 Schwanthalerhöhe"
"Bevölkerung","Zusammengefasste Geburtenrate","deutsch","1,11","","","","","","","","","","","2001","Stadtbezirk","17","17 Obergiesing - Fasangarten"
"Bevölkerung","Zusammengefasste Geburtenrate","deutsch","1,04","","","","","","","","","","","2001","Gesamtstadt","#100","Stadt München"
"Bevölkerung","Zusammengefasste Geburtenrate","deutsch","0,97","","","","","","","","","","","2001","Stadtbezirk","11","11 Milbertshofen - Am Hart"
"Bevölkerung","Zusammengefasste Geburtenrate","ausländisch","0,92","","","","","","","","","","","2001","Stadtbezirk","1","01 Altstadt - Lehel"
